ArticleType,Article_Count
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",2
"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",2
"Journal Article|Research Support, N.I.H., Extramural|Review",2
"Journal Article|Research Support, Non-U.S. Gov't|Research Support, N.I.H., Extramural",2
Letter,2
"Adaptive Clinical Trial|Clinical Trial Protocol|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
Case Reports|Clinical Trial|Journal Article,1
"Case Reports|Journal Article|Research Support, Non-U.S. Gov't",1
Clinical Study|Journal Article|Multicenter Study,1
"Clinical Trial Protocol|Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Clinical Trial, Phase III|Letter",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Letter",1
"Clinical Trial Protocol|Clinical Trial, Phase II|Letter|Multicenter Study",1
"Clinical Trial Protocol|Clinical Trial, Phase IV|Journal Article|Multicenter Study|Pragmatic Clinical Trial|Randomized Controlled Trial",1
"Clinical Trial Protocol|Clinical Trial, Phase IV|Letter",1
Clinical Trial Protocol|Comparative Study|Journal Article|Observational Study,1
Clinical Trial Protocol|Comparative Study|Letter,1
Clinical Trial Protocol|Equivalence Trial|Letter,1
Clinical Trial Protocol|Journal Article|Multicenter Study|Randomized Controlled Trial,1
"Clinical Trial Protocol|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial Protocol|Journal Article|Research Support, N.I.H., Extramural",1
Clinical Trial Protocol|Letter|Multicenter Study|Observational Study|Randomized Controlled Trial,1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",1
"Clinical Trial, Phase I|Clinical Trial, Phase II|Journal Article|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural",1
"Clinical Trial, Phase I|Journal Article",1
"Clinical Trial, Phase I|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase I|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase I|Journal Article|Research Support, N.I.H., Extramural",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Comparative Study|Letter|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Multicenter Study|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase II|Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Controlled Clinical Trial|Journal Article",1
"Clinical Trial, Phase II|Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase II|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural",1
"Clinical Trial, Phase II|Journal Article|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial",1
"Clinical Trial, Phase III|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Clinical Trial, Phase III|Letter|Randomized Controlled Trial",1
"Clinical Trial, Phase IV|Journal Article|Research Support, Non-U.S. Gov't",1
Clinical Trial|Journal Article|Video-Audio Media,1
Comparative Study|Journal Article|Multicenter Study,1
"Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural",1
"Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
Comparative Study|Journal Article|Randomized Controlled Trial,1
"Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",1
"Comparative Study|Journal Article|Randomized Controlled Trial|Research Support, N.I.H., Extramural|Video-Audio Media",1
"Comparative Study|Journal Article|Research Support, N.I.H., Extramural",1
"Comparative Study|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
Comparative Study|Journal Article|Validation Study,1
Comparative Study|Letter|Randomized Controlled Trial,1
Equivalence Trial|Journal Article|Multicenter Study|Randomized Controlled Trial,1
Historical Article|Journal Article|Personal Narrative,1
Journal Article|Comment,1
Journal Article|Meta-Analysis|Review|Systematic Review,1
Journal Article|Multicenter Study|Observational Study,1
"Journal Article|Multicenter Study|Observational Study|Research Support, Non-U.S. Gov't",1
Journal Article|Multicenter Study|Pragmatic Clinical Trial,1
"Journal Article|Multicenter Study|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1
"Journal Article|Multicenter Study|Research Support, Non-U.S. Gov't",1
"Journal Article|Observational Study|Research Support, N.I.H., Extramural",1
Journal Article|Practice Guideline,1
"Journal Article|Pragmatic Clinical Trial|Research Support, Non-U.S. Gov't",1
"Journal Article|Research Support, N.I.H., Extramural|Research Support, N.I.H., Intramural|Review",1
"Journal Article|Research Support, N.I.H., Intramural",1
"Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",1
"Journal Article|Research Support, Non-U.S. Gov't|Validation Study",1
"Journal Article|Research Support, U.S. Gov't, Non-P.H.S.",1
"Journal Article|Review|Research Support, Non-U.S. Gov't",1
Journal Article|Review|Systematic Review,1
Review|Journal Article,1
