Country,Study_Count
Belgium|France|Monaco,1
Belgium|Germany,1
Belgium|Germany|Mexico|Netherlands|Peru|Spain,1
Belgium|Hungary|Poland|Russian Federation,1
Bosnia and Herzegovina,1
Brazil|Canada|Chile|Colombia|Ecuador|Egypt|India|Pakistan|Philippines|Russian Federation|Saudi Arabia|United Arab Emirates,1
Brazil|Colombia|Israel|Italy|Mexico|Poland|Russian Federation|United Kingdom,1
Brazil|France|Russian Federation|Spain,1
Brazil|Malaysia,1
Brazil|Mexico|Switzerland,1
Brazil|United States,1
Bulgaria,1
Bulgaria|Germany,1
Bulgaria|Ireland|United Kingdom,1
Burkina Faso|Kenya,1
C̫te D'Ivoire,1
Cameroon,1
Canada|Germany|Netherlands|Spain|United Kingdom,1
Canada|Israel,1
Canada|Mongolia,1
Canada|Saudi Arabia,1
Cape Verde|Guinea-Bissau|Mozambique,1
China|Ecuador|Indonesia|Pakistan|Uzbekistan,1
China|Italy,1
Costa Rica,1
Croatia,1
Czechia|Romania|United Kingdom,1
Denmark|India|Sweden|Switzerland,1
Denmark|Sweden,1
Dominican Republic,1
Ecuador,1
France|French Guiana,1
French Guiana|Guadeloupe|New Caledonia,1
Gambia,1
Germany|India|Netherlands|South Africa|Spain,1
Germany|Israel,1
Germany|Netherlands,1
Germany|Romania|Sweden,1
Ghana,1
Gibraltar,1
Greece|Italy,1
Iceland,1
India|Israel,1
India|United Kingdom,1
Indonesia|Italy|Lao People's Democratic Republic|Pakistan|Thailand|United Kingdom,1
Indonesia|Nepal|United Kingdom,1
Italy|Russian Federation,1
Italy|Spain,1
Jamaica,1
"Japan|United States|China|France|Germany|Hong Kong|Italy|Korea, Republic of|Netherlands|Singapore|Spain|Sweden|Switzerland|Taiwan|United Kingdom",1
Kenya,1
Kuwait|Qatar,1
Kyrgyzstan,1
Mexico|Argentina|Chile|Pakistan|Russian Federation,1
"Moldova, Republic of",1
"NA",1
Nepal,1
New Zealand,1
Nigeria,1
Oman,1
Panama|Peru,1
Portugal,1
Puerto Rico,1
Romania|Spain,1
Russian Federation|Slovakia,1
Russian Federation|Spain,1
Rwanda,1
Senegal,1
Slovakia,1
Slovenia,1
Taiwan|Vietnam,1
Tunisia,1
Uganda,1
United Arab Emirates,1
United States|Argentina|Belgium|Brazil|Canada|Chile|France|India|Japan|Mexico|Netherlands|Peru|Poland|Russian Federation|South Africa|Spain|United Kingdom,1
United States|Argentina|Brazil|Canada|Colombia|France|Germany|Israel|Italy|Mexico|Peru|South Africa|Spain|Ukraine,1
United States|Argentina|Brazil|Canada|India|Mexico|United Kingdom,1
United States|Argentina|Brazil|Chile|Colombia|Mexico|Peru|South Africa,1
United States|Argentina|Brazil|Chile|South Africa|Ukraine,1
United States|Argentina|Brazil|Colombia|France|Germany|Mexico|Peru|Russian Federation|Spain|Turkey|United Kingdom,1
"United States|Argentina|Brazil|Germany|India|Italy|Japan|Korea, Republic of|Mexico|Puerto Rico|Russian Federation|Spain|United Kingdom",1
United States|Argentina|Brazil|Germany|South Africa|Turkey,1
United States|Argentina|Chile|Colombia|France|Peru,1
United States|Australia,1
United States|Australia|Brazil|Mexico|South Africa,1
United States|Australia|Brazil|Spain,1
United States|Australia|Philippines|Romania,1
United States|Austria|Belgium,1
United States|Austria|Brazil|Canada|Peru|Spain|United Kingdom,1
United States|Austria|France|Israel|Spain|United Kingdom,1
United States|Belgium,1
United States|Belgium|Brazil|Colombia|France|Germany|Philippines|South Africa|Spain|United Kingdom,1
United States|Belgium|Brazil|France|Puerto Rico,1
"United States|Belgium|Brazil|Moldova, Republic of|Romania|South Africa|Ukraine",1
United States|Belgium|Canada|France|Japan|Spain,1
United States|Belgium|France|Netherlands,1
United States|Belgium|France|Spain|United Kingdom,1
United States|Belgium|Spain,1
United States|Brazil|Canada,1
United States|Brazil|Canada|Chile|Colombia|France|Germany|Israel|Italy|Mexico|Philippines|Russian Federation|South Africa|Spain|Ukraine|United Kingdom,1
"United States|Brazil|Canada|Chile|Colombia|France|Israel|Italy|Korea, Republic of|Mexico|Philippines|Poland|Russian Federation|South Africa|Spain|Ukraine|United Kingdom",1
United States|Brazil|Canada|Mexico,1
United States|Brazil|Canada|South Africa|Spain,1
"United States|Brazil|Chile|Mexico|Moldova, Republic of|Romania",1
United States|Brazil|Chile|Mexico|Puerto Rico|Spain,1
United States|Brazil|Chile|Peru|South Africa,1
United States|Brazil|Colombia|India|Mexico,1
"United States|Brazil|Finland|Moldova, Republic of|Romania|Ukraine|United Kingdom",1
United States|Brazil|Kenya|Mexico|Peru|South Africa,1
United States|Brazil|Mexico|Peru,1
United States|Brazil|Mexico|Spain,1
United States|Brazil|Russian Federation|Spain,1
United States|Canada|Denmark|France|Germany|Italy|Netherlands|Spain|United Kingdom,1
United States|Canada|Turkey,1
United States|Chile|Mexico|Romania,1
"United States|China|France|Germany|Hong Kong|Italy|Japan|Korea, Republic of|Netherlands|Singapore|Spain|Sweden|Switzerland|Taiwan|United Kingdom",1
United States|Colombia,1
"United States|Denmark|Germany|Greece|Japan|Korea, Republic of|Mexico|Singapore|Spain|United Kingdom",1
United States|Denmark|Greece|Japan|Nigeria|Spain|United Kingdom,1
United States|Denmark|India|Poland|Singapore|Spain|Switzerland|United Kingdom,1
"United States|Denmark|Japan|Korea, Republic of|Mexico|Singapore|Spain|United Kingdom",1
United States|Denmark|Portugal|Spain|United Kingdom,1
United States|France|Italy|Russian Federation|Spain|United Kingdom,1
United States|France|Japan|Spain|United Kingdom,1
United States|Germany|Hungary|Mexico|United Kingdom,1
United States|Ghana|South Africa|United Kingdom|Zambia|Zimbabwe,1
United States|Honduras,1
United States|Hungary|Israel|Netherlands|Puerto Rico,1
United States|Israel,1
United States|Italy,1
United States|Italy|Spain|United Kingdom,1
United States|Mexico|Puerto Rico,1
"United States|Moldova, Republic of|Romania",1
United States|Netherlands|Switzerland,1
United States|New Zealand,1
United States|Romania,1
United States|Russian Federation|Ukraine,1
United States|Singapore,1
United States|Uganda,1
