nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,intervention_type,intervention_name,description,intervention_count,status,facility_name,city,state,zip,country,site_count
NCT04254874,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-02,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Interferon Atomization in the 2019-nCoV Pneumonia","An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Two Therapeutic Schemes(Abidol Hydrochloride,Abidol Hydrochloride Combined With Interferon Atomization)in the Treatment of 2019-nCoV Pneumonia.",Recruiting,NA,Phase 4,100,Anticipated,Tongji Hospital,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:27:04Z,2020-04-01T09:27:04Z,Drug|Drug,Abidol hydrochloride|Abidol Hydrochloride combined with Interferon atomization,"0.2g once, 3 times a day,two weeks|Abidol Hydrochloride:0.2g once, 3 times a day,two weeks; Interferon(PegIFN-Î±-2b) atomization:45ug, add to sterile water 2ml, twice a day,two weeks",2,Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04264533,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-04,NA,NA,2020-03-06,2020-02-08,2020-02-11,Actual,NA,NA,NA,NA,NA,NA,2020-03-06,2020-03-10,Actual,"February 14, 2020",Actual,2020-02-14,February 2020,2020-02-29,"September 30, 2020",Anticipated,2020-09-30,"September 30, 2020",Anticipated,2020-09-30,NA,Interventional,NA,,Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia,Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia: a Prospective Randomized Clinical Trial,Recruiting,NA,Phase 2,140,Anticipated,Zhongnan Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:25:41Z,2020-04-01T09:25:41Z,Drug|Drug,VC|Sterile Water for Injection,12g Vitamin C will be infused in the experimental group twice a day for 7 days by the infusion pump with a speed of 12ml/h.|50ml sterile water for injection will be infused in the placebo comparator group twice a day for 7 days by the infusion pump with a speed of 12ml/h.,2,Recruiting,Zhongnan Hospital of Wuhan University,Wuhan,Hubei,430000,China,1
NCT04261270,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-04,NA,NA,2020-03-14,2020-02-06,2020-02-07,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"May 1, 2020",Anticipated,2020-05-01,NA,Interventional,NA,,"A Randomized,Open,Controlled Clinical Study to Evaluate the Efficacy of ASC09F and Ritonavir for 2019-nCoV Pneumonia","A Randomized,Open,Controlled Small Sample Clinical Study to Evaluate the Efficacy and Safety of ASC09/Ritonavir Compound Tablets and Ritonavir for 2019-nCoV Pneumonia",Recruiting,NA,Phase 3,60,Anticipated,Tongji Hospital,,3,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:26:11Z,2020-04-01T09:26:11Z,Drug|Drug|Drug,ASC09F+Oseltamivir|Ritonavir+Oseltamivir|Oseltamivir,"ASC09F tablets:one tablet(400mg/tablet)twice a day for 14 days;Oseltamivir tablet:75mg,once a day|Ritonavir tablet:three tablets(100mg/tablet)twice a day for 14 days;Oseltamivir tablet:75mg,once a day|75mg ,once a day",3,Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04331613,"ClinicalTrials.gov processed this data on April 10, 2020",2020-02-06,NA,NA,2020-03-31,2020-03-31,2020-04-02,Actual,NA,NA,NA,NA,NA,NA,2020-03-31,2020-04-02,Actual,"January 27, 2020",Actual,2020-01-27,January 2020,2020-01-31,December 2020,Anticipated,2020-12-31,December 2020,Anticipated,2020-12-31,NA,Interventional,NA,,Safety and Efficacy of CAStem for Severe COVID-19 Associated With/Without ARDS,Safety and Efficacy Study of Human Embryonic Stem Cells Derived M Cells (CAStem) for the Treatment of Severe COVID-19 Associated With or Without Acute Respiratory Distress Syndrome (ARDS),Recruiting,NA,Phase 1/Phase 2,9,Anticipated,Chinese Academy of Sciences,,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-12T09:06:30Z,2020-04-12T09:06:30Z,Biological,CAStem,CAStem will be administered intravenously.,1,Recruiting,"Beijing YouAn Hospital, Capital Medical University",Beijing,"Beijing, China",100000,China,1
NCT04275245,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-06,NA,NA,2020-02-16,2020-02-16,2020-02-19,Actual,NA,NA,NA,NA,NA,NA,2020-02-16,2020-02-19,Actual,"February 3, 2020",Actual,2020-02-03,February 2020,2020-02-29,"December 31, 2020",Anticipated,2020-12-31,"December 31, 2020",Anticipated,2020-12-31,NA,Interventional,NA,,Clinical Study of Anti-CD147 Humanized Meplazumab for Injection to Treat With 2019-nCoV Pneumonia,"Single Center, Single Arm, Open Clinical Study to Access Safety and Initial Efficacy of Anti-CD147 Humanized Meplazumab for Injection to Treat With 2019-nCoV Pneumonia",Recruiting,NA,Phase 1/Phase 2,20,Anticipated,Tang-Du Hospital,,1,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-01T09:24:15Z,2020-04-01T09:24:15Z,Drug,Meplazumab for Injection,humanized MAb against CD147,1,Recruiting,Tangdu Hospital,Xi'an,Shaanxi,710032,China,1
NCT04261907,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-06,NA,NA,2020-02-06,2020-02-06,2020-02-10,Actual,NA,NA,NA,NA,NA,NA,2020-02-06,2020-02-10,Actual,"February 7, 2020",Anticipated,2020-02-07,February 2020,2020-02-29,"June 30, 2020",Anticipated,2020-06-30,"May 31, 2020",Anticipated,2020-05-31,NA,Interventional,NA,,Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Novel Coronavirus Infection,"A Randomized, Open-label, Multi-centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Pneumonia Caused by Novel Coronavirus Infection",Not yet recruiting,NA,N/A,160,Anticipated,First Affiliated Hospital of Zhejiang University,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:26:07Z,2020-04-01T09:26:07Z,Drug|Drug,ASC09/ritonavir group|lopinavir/ritonavir group,"ASC09/ritonavir(300mg/100mg tablet), one tablet each time, twice daily, for 14 days, +conventional standardized treatment|Lopinavir/ritonavir tablets(200mg / 50mg tablet), two tablets each time, twice daily, for 14 days, +conventional standardized treatment",2,NA,NA,NA,NA,NA,NA,NA
NCT04260594,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-06,NA,NA,2020-02-06,2020-02-06,2020-02-07,Actual,NA,NA,NA,NA,NA,NA,2020-02-06,2020-02-07,Actual,"February 7, 2020",Anticipated,2020-02-07,February 2020,2020-02-29,"December 30, 2020",Anticipated,2020-12-30,"July 1, 2020",Anticipated,2020-07-01,NA,Interventional,NA,,Clinical Study of Arbidol Hydrochloride Tablets in the Treatment of Pneumonia Caused by Novel Coronavirus,"Randomized, Open, Multicenter Study on the Efficacy and Safety of Arbidol Hydrochloride Tablets in Treating Pneumonia in Patients Infected With Novel Coronavirus (2019-ncov).",Not yet recruiting,NA,Phase 4,380,Anticipated,Ruijin Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-01T09:26:15Z,2020-04-01T09:26:15Z,Drug|Other,Arbidol|basic treatment,"Arbidol tablets: take 2 tablets/time, 3 times/day for 14-20 days|basic treatment",2,NA,NA,NA,NA,NA,NA,NA
NCT04261517,"ClinicalTrials.gov processed this data on April 17, 2020",2020-02-06,NA,NA,2020-04-09,2020-02-06,2020-02-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-13,Actual,"February 6, 2020",Actual,2020-02-06,April 2020,2020-04-30,"February 25, 2020",Actual,2020-02-25,"February 25, 2020",Actual,2020-02-25,NA,Interventional,NA,,Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,Completed,NA,Phase 3,30,Actual,Shanghai Public Health Clinical Center,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-20T08:53:10Z,2020-04-20T08:53:10Z,Drug,Hydroxychloroquine,"Subjects take hydroxychloroquine 400 mg per day for 5 days, also take conventional treatments",1,|,Shanghai Public Health Clinical Center|Shanghai Public Health Clinical Center,Shanghai|Shanghai,Shanghai|Shanghai,201508|,China|China,2
NCT04269525,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-07,NA,NA,2020-02-12,2020-02-12,2020-02-13,Actual,NA,NA,NA,NA,NA,NA,2020-02-12,2020-02-17,Actual,"February 6, 2020",Actual,2020-02-06,February 2020,2020-02-29,"September 30, 2020",Anticipated,2020-09-30,"April 30, 2020",Anticipated,2020-04-30,NA,Interventional,NA,,Umbilical Cord(UC)-Derived Mesenchymal Stem Cells(MSCs) Treatment for the 2019-novel Coronavirus(nCOV) Pneumonia,Clinical Research Regarding the Availability and Safety of UC-MSCs Treatment for Serious Pneumonia and Critical Pneumonia Caused by the 2019-nCOV Infection,Recruiting,NA,Phase 2,10,Anticipated,Zhongnan Hospital,,1,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:25:03Z,2020-04-01T09:25:03Z,Biological,UC-MSCs,"After enrollment, each subject will receive UC-MSCs infusion intravenously on day 1, day 3, day 5, and day 7.",1,Recruiting,Zhongnan Hospital of Wuhan University,Wuhan,Hubei,430000,China,1
NCT04268537,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-08,NA,NA,2020-02-12,2020-02-12,2020-02-13,Actual,NA,NA,NA,NA,NA,NA,2020-02-12,2020-02-13,Actual,"February 10, 2020",Anticipated,2020-02-10,February 2020,2020-02-29,"October 31, 2020",Anticipated,2020-10-31,"April 30, 2020",Anticipated,2020-04-30,NA,Interventional,NA,,Immunoregulatory Therapy for 2019-nCoV,Immunoregulatory Therapy for 2019-nCoV-induced Severe Pneumonia Patients,Not yet recruiting,NA,Phase 2,120,Anticipated,"Southeast University, China",,3,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:25:10Z,2020-04-01T09:25:10Z,Drug|Drug|Other,PD-1 blocking antibody+standard treatment|Thymosin+standard treatment|standard treatment,"After randomization, PD-1 blocking antibody 200mg iv, one time. Standard treatment is according to the protocol of treatment of 2019-nCoV infection|Thymosin 1.6 mg sc qd, last for 5 days. Standard treatment is according to the protocol of treatment of 2019-nCoV infection|Standard treatment is according to the protocol of treatment of 2019-nCoV infection",3,NA,NA,NA,NA,NA,NA,NA
NCT04264858,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-08,NA,NA,2020-03-13,2020-02-08,2020-02-11,Actual,NA,NA,NA,NA,NA,NA,2020-03-13,2020-03-17,Actual,"March 17, 2020",Anticipated,2020-03-17,March 2020,2020-03-31,"May 31, 2020",Anticipated,2020-05-31,"April 30, 2020",Anticipated,2020-04-30,NA,Interventional,NA,,Treatment of Acute Severe 2019-nCoV Pneumonia With Immunoglobulin From Cured Patients,An Exploratory Clinical Study on the Treatment of Acute Severe 2019-nCoV Pneumonia With Immunoglobulin From Cured 2019-nCoV Pneumonia Patients,Not yet recruiting,NA,N/A,10,Anticipated,"Wuhan Union Hospital, China",,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-01T09:25:37Z,2020-04-01T09:25:37Z,Drug|Drug,Immunoglobulin of cured patients|Î³-Globulin,"0.2g/kg, ivdrip, once a day, for 3 days|0.2g/kg, ivdrip, once a day, for 3 days",2,,"Department of Cardiology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Wuhan,Hubei,430022,China,1
